Model,Accuracy,F1,AUC,Fold,Scenario
LR,0.8888888888888888,0.896551724137931,0.9505494505494505,18,A_Baseline
LR,0.7777777777777778,0.8125,0.9505494505494505,18,B_Fidelity
LR,0.8888888888888888,0.8888888888888888,0.9065934065934066,18,C_Scale
LR,0.8518518518518519,0.8571428571428571,0.9340659340659341,18,D_Augment_0.5
LR,0.8888888888888888,0.896551724137931,0.9285714285714286,18,D_Augment_1.0
LR,0.8888888888888888,0.8888888888888888,0.9010989010989011,18,D_Augment_2.0
LR,0.8518518518518519,0.8571428571428571,0.945054945054945,18,D_Augment_4.0
RF,0.8148148148148148,0.8,0.9500000000000001,19,A_Baseline
RF,0.7037037037037037,0.6363636363636364,0.7833333333333333,19,B_Fidelity
RF,0.6296296296296297,0.6875,0.8777777777777778,19,C_Scale
RF,0.8518518518518519,0.8461538461538461,0.9472222222222223,19,D_Augment_0.5
RF,0.7407407407407407,0.7586206896551724,0.8944444444444444,19,D_Augment_1.0
RF,0.8148148148148148,0.8148148148148148,0.9111111111111111,19,D_Augment_2.0
RF,0.7037037037037037,0.6923076923076923,0.8666666666666667,19,D_Augment_4.0
XGB,0.8518518518518519,0.8,0.9333333333333333,19,A_Baseline
XGB,0.8148148148148148,0.7368421052631579,0.85,19,B_Fidelity
